ZIPCODE,GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,STATE,STATE_NAME,STATE_FIPS,source_file,state_zip_key_x,region_type,region_type_id,redfin_tableid_zip,zip_code,state,state_code,parent_metro_region,parent_metro_region_metro_code,state_county_code,redfin_county_name,redfin_table_id_county,redfin_region_type,census_city_long,census_city,state_zip_combined,redfin_table_id_city,redfin_city,Unnamed: 17,Unnamed: 18,state_zip_key_y,data_source,has_census_data,has_redfin_data,has_geometry
89001,89001,1316626294.0,1852137.0,+37.3376548,-115.3023777,NV,Nevada,32,28691.0,NV_89001,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
89002,89002,22489197.0,0.0,+35.9984525,-114.9618118,NV,Nevada,32,28659.0,NV_89002,zip code,2.0,37201.0,89002,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"HENDERSON, NV",HENDERSON,3200389002.0,8147.0,"Henderson, NV",,,NV_89002,Complete data,True,True,True
89003,89003,632637347.0,75806.0,+36.9461079,-116.7643464,NV,Nevada,32,28640.0,NV_89003,zip code,2.0,37202.0,89003,Nevada,NV,"Pahrump, NV",37220.0,32023.0,"Nye County, NV",1875.0,county,"BEATTY, NV",BEATTY,3202389003.0,21416.0,"Beatty, NV",,,NV_89003,Complete data,True,True,True
89004,89004,17020081.0,0.0,+36.0416268,-115.4125760,NV,Nevada,32,28614.0,NV_89004,zip code,2.0,37203.0,89004,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"BLUE DIAMOND, NV",BLUE DIAMOND,3200389004.0,21445.0,"Blue Diamond, NV",,,NV_89004,Complete data,True,True,True
89005,89005,239055366.0,38304990.0,+35.9996277,-114.8520396,NV,Nevada,32,28705.0,NV_89005,zip code,2.0,37204.0,89005,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"BOULDER CITY, NV",BOULDER CITY,3200389005.0,1712.0,"Boulder City, NV",,,NV_89005,Complete data,True,True,True
89007,89007,558984766.0,4294602.0,+36.6666572,-114.2267470,NV,Nevada,32,28634.0,NV_89007,zip code,2.0,37206.0,89007,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"BUNKERVILLE, NV",BUNKERVILLE,3200389007.0,21600.0,"Bunkerville, NV",,,NV_89007,Complete data,True,True,True
89008,89008,4687095402.0,859128.0,+37.2860868,-114.5131046,NV,Nevada,32,28662.0,NV_89008,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
89010,89010,995358086.0,9517416.0,+37.8246942,-118.0791972,NV,Nevada,32,28711.0,NV_89010,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
89011,89011,42746401.0,1272345.0,+36.0848160,-114.9631799,NV,Nevada,32,28617.0,NV_89011,zip code,2.0,37210.0,89011,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"HENDERSON, NV",HENDERSON,3200389011.0,8147.0,"Henderson, NV",,,NV_89011,Complete data,True,True,True
89012,89012,27747988.0,0.0,+36.0119172,-115.0431583,NV,Nevada,32,28616.0,NV_89012,zip code,2.0,37211.0,89012,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"HENDERSON, NV",HENDERSON,3200389012.0,8147.0,"Henderson, NV",,,NV_89012,Complete data,True,True,True
89013,89013,1675633454.0,133265.0,+37.3689452,-117.2621210,NV,Nevada,32,28638.0,NV_89013,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
89014,89014,19795333.0,0.0,+36.0615454,-115.0576715,NV,Nevada,32,28627.0,NV_89014,zip code,2.0,37213.0,89014,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"HENDERSON, NV",HENDERSON,3200389014.0,8147.0,"Henderson, NV",,,NV_89014,Complete data,True,True,True
89015,89015,96575063.0,0.0,+36.0388898,-114.9283162,NV,Nevada,32,28594.0,NV_89015,zip code,2.0,37214.0,89015,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"HENDERSON, NV",HENDERSON,3200389015.0,8147.0,"Henderson, NV",,,NV_89015,Complete data,True,True,True
89017,89017,1656854824.0,854118.0,+37.7022146,-115.3336454,NV,Nevada,32,28580.0,NV_89017,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
89018,89018,4522670.0,0.0,+36.5706447,-115.6680058,NV,Nevada,32,28709.0,NV_89018,zip code,2.0,37217.0,89018,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"INDIAN SPRINGS, NV",INDIAN SPRINGS,3200389018.0,23385.0,"Indian Springs, NV",,,NV_89018,Complete data,True,True,True
89019,89019,1293877441.0,0.0,+35.7694908,-115.5159113,NV,Nevada,32,28702.0,NV_89019,zip code,2.0,37218.0,89019,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"JEAN, NV",JEAN,3200389019.0,,,,,NV_89019,Complete data,True,True,True
89020,89020,557427634.0,42949.0,+36.5625252,-116.4198297,NV,Nevada,32,28556.0,NV_89020,zip code,2.0,37219.0,89020,Nevada,NV,"Pahrump, NV",37220.0,32023.0,"Nye County, NV",1875.0,county,"AMARGOSA VALLEY, NV",AMARGOSA VALLEY,3202389020.0,37986.0,"Amargosa Valley, NV",,,NV_89020,Complete data,True,True,True
89021,89021,133584312.0,61493.0,+36.6402126,-114.4710265,NV,Nevada,32,28704.0,NV_89021,zip code,2.0,37220.0,89021,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LOGANDALE, NV",LOGANDALE,3200389021.0,,,,,NV_89021,Complete data,True,True,True
89022,89022,39045618.0,0.0,+38.5184117,-117.0149237,NV,Nevada,32,28575.0,NV_89022,zip code,2.0,37221.0,89022,Nevada,NV,"Pahrump, NV",37220.0,32023.0,"Nye County, NV",1875.0,county,"MANHATTAN, NV",MANHATTAN,3202389022.0,,,,,NV_89022,Complete data,True,True,True
89025,89025,643711769.0,1596.0,+36.6832111,-114.7897291,NV,Nevada,32,28551.0,NV_89025,zip code,2.0,37224.0,89025,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"MOAPA, NV",MOAPA,3200389025.0,,,,,NV_89025,Complete data,True,True,True
89026,89026,48257556.0,0.0,+35.7492272,-115.2847488,NV,Nevada,32,28636.0,NV_89026,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
89027,89027,32358718.0,1159327.0,+36.8145316,-114.0933343,NV,Nevada,32,28615.0,NV_89027,zip code,2.0,37226.0,89027,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"MESQUITE, NV",MESQUITE,3200389027.0,11737.0,"Mesquite, NV",,,NV_89027,Complete data,True,True,True
89029,89029,243901061.0,3939315.0,+35.1297468,-114.6556716,NV,Nevada,32,28635.0,NV_89029,zip code,2.0,37228.0,89029,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAUGHLIN, NV",LAUGHLIN,3200389029.0,23823.0,"Laughlin, NV",,,NV_89029,Complete data,True,True,True
89030,89030,24532475.0,0.0,+36.2123048,-115.1231338,NV,Nevada,32,28697.0,NV_89030,zip code,2.0,37229.0,89030,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"NORTH LAS VEGAS, NV",NORTH LAS VEGAS,3200389030.0,13363.0,"North Las Vegas, NV",,,NV_89030,Complete data,True,True,True
89031,89031,25617792.0,0.0,+36.2584569,-115.1707428,NV,Nevada,32,28630.0,NV_89031,zip code,2.0,37230.0,89031,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"NORTH LAS VEGAS, NV",NORTH LAS VEGAS,3200389031.0,13363.0,"North Las Vegas, NV",,,NV_89031,Complete data,True,True,True
89032,89032,25862489.0,0.0,+36.2223858,-115.1735847,NV,Nevada,32,28700.0,NV_89032,zip code,2.0,37231.0,89032,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"NORTH LAS VEGAS, NV",NORTH LAS VEGAS,3200389032.0,13363.0,"North Las Vegas, NV",,,NV_89032,Complete data,True,True,True
89034,89034,44155818.0,0.0,+36.8092348,-114.1497786,NV,Nevada,32,28595.0,NV_89034,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
89039,89039,155242750.0,0.0,+35.2657401,-114.8724491,NV,Nevada,32,28707.0,NV_89039,zip code,2.0,37235.0,89039,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"CAL NEV ARI, NV",CAL NEV ARI,3200389039.0,,,,,NV_89039,Complete data,True,True,True
89040,89040,1290924216.0,252248137.0,+36.3490769,-114.5223303,NV,Nevada,32,28613.0,NV_89040,zip code,2.0,37236.0,89040,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"OVERTON, NV",OVERTON,3200389040.0,,,,,NV_89040,Complete data,True,True,True
89042,89042,282521743.0,0.0,+37.7981619,-114.3585975,NV,Nevada,32,28689.0,NV_89042,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
89043,89043,3711550421.0,1626731.0,+38.2774919,-114.4072175,NV,Nevada,32,28639.0,NV_89043,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
89044,89044,151141030.0,0.0,+35.9398679,-115.0562875,NV,Nevada,32,28684.0,NV_89044,zip code,2.0,37240.0,89044,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"HENDERSON, NV",HENDERSON,3200389044.0,8147.0,"Henderson, NV",,,NV_89044,Complete data,True,True,True
89045,89045,3776458609.0,6778584.0,+38.8733079,-117.0982505,NV,Nevada,32,28571.0,NV_89045,zip code,2.0,37241.0,89045,Nevada,NV,"Pahrump, NV",37220.0,32023.0,"Nye County, NV",1875.0,county,"ROUND MOUNTAIN, NV",ROUND MOUNTAIN,3202389045.0,,,,,NV_89045,Complete data,True,True,True
89046,89046,2239036526.0,59123631.0,+35.5139239,-114.8105984,NV,Nevada,32,28660.0,NV_89046,zip code,2.0,37242.0,89046,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"SEARCHLIGHT, NV",SEARCHLIGHT,3200389046.0,25591.0,"Searchlight, NV",,,NV_89046,Complete data,True,True,True
89047,89047,2564741.0,0.0,+37.7577262,-117.6386496,NV,Nevada,32,28663.0,NV_89047,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
89048,89048,222622312.0,352432.0,+36.1636313,-115.9874802,NV,Nevada,32,28578.0,NV_89048,zip code,2.0,37244.0,89048,Nevada,NV,"Pahrump, NV",37220.0,32023.0,"Nye County, NV",1875.0,county,"PAHRUMP, NV",PAHRUMP,3202389048.0,24754.0,"Pahrump, NV",,,NV_89048,Complete data,True,True,True
89049,89049,6360471130.0,1094794.0,+38.3909839,-116.3993148,NV,Nevada,32,28572.0,NV_89049,zip code,2.0,37245.0,89049,Nevada,NV,"Pahrump, NV",37220.0,32023.0,"Nye County, NV",1875.0,county,"TONOPAH, NV",TONOPAH,3202389049.0,26122.0,"Tonopah, NV",,,NV_89049,Complete data,True,True,True
89052,89052,42207019.0,0.0,+35.9798738,-115.1079443,NV,Nevada,32,28606.0,NV_89052,zip code,2.0,37246.0,89052,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"HENDERSON, NV",HENDERSON,3200389052.0,8147.0,"Henderson, NV",,,NV_89052,Complete data,True,True,True
89054,89054,15312872.0,0.0,+35.9209730,-115.1905157,NV,Nevada,32,28569.0,NV_89054,zip code,2.0,41783.0,89054,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"SLOAN, NV",SLOAN,3200389054.0,,,,,NV_89054,Complete data,True,True,True
89060,89060,1164029185.0,83993.0,+36.3915560,-116.0575681,NV,Nevada,32,28584.0,NV_89060,zip code,2.0,37248.0,89060,Nevada,NV,"Pahrump, NV",37220.0,32023.0,"Nye County, NV",1875.0,county,"PAHRUMP, NV",PAHRUMP,3202389060.0,24754.0,"Pahrump, NV",,,NV_89060,Complete data,True,True,True
89061,89061,165855694.0,10631.0,+36.0701105,-115.9062487,NV,Nevada,32,28579.0,NV_89061,zip code,2.0,37249.0,89061,Nevada,NV,"Las Vegas, NV",29820.0,32023.0,"Nye County, NV",1875.0,county,"PAHRUMP, NV",PAHRUMP,3202389061.0,24754.0,"Pahrump, NV",,,NV_89061,Complete data,True,True,True
89070,89070,68447711.0,0.0,+36.5008191,-115.6395601,NV,Nevada,32,28661.0,NV_89070,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
89074,89074,23494288.0,0.0,+36.0363698,-115.0811862,NV,Nevada,32,28552.0,NV_89074,zip code,2.0,37252.0,89074,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"HENDERSON, NV",HENDERSON,3200389074.0,8147.0,"Henderson, NV",,,NV_89074,Complete data,True,True,True
89081,89081,18661301.0,112001.0,+36.2584774,-115.1074920,NV,Nevada,32,28681.0,NV_89081,zip code,2.0,37254.0,89081,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"NORTH LAS VEGAS, NV",NORTH LAS VEGAS,3200389081.0,13363.0,"North Las Vegas, NV",,,NV_89081,Complete data,True,True,True
89084,89084,38087145.0,0.0,+36.2974858,-115.1569317,NV,Nevada,32,28550.0,NV_89084,zip code,2.0,37255.0,89084,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"NORTH LAS VEGAS, NV",NORTH LAS VEGAS,3200389084.0,13363.0,"North Las Vegas, NV",,,NV_89084,Complete data,True,True,True
89085,89085,1311180.0,0.0,+36.3096023,-115.1981748,NV,Nevada,32,28568.0,NV_89085,zip code,2.0,37256.0,89085,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"NORTH LAS VEGAS, NV",NORTH LAS VEGAS,3200389085.0,13363.0,"North Las Vegas, NV",,,NV_89085,Complete data,True,True,True
89086,89086,7751551.0,0.0,+36.2835995,-115.1099624,NV,Nevada,32,28631.0,NV_89086,zip code,2.0,37257.0,89086,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"NORTH LAS VEGAS, NV",NORTH LAS VEGAS,3200389086.0,13363.0,"North Las Vegas, NV",,,NV_89086,Complete data,True,True,True
89101,89101,13931483.0,0.0,+36.1727881,-115.1223241,NV,Nevada,32,28651.0,NV_89101,zip code,2.0,37259.0,89101,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389101.0,10201.0,"Las Vegas, NV",,,NV_89101,Complete data,True,True,True
89102,89102,13823459.0,0.0,+36.1453396,-115.1866066,NV,Nevada,32,28599.0,NV_89102,zip code,2.0,37260.0,89102,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389102.0,10201.0,"Las Vegas, NV",,,NV_89102,Complete data,True,True,True
89103,89103,16875813.0,0.0,+36.1123605,-115.2121483,NV,Nevada,32,28607.0,NV_89103,zip code,2.0,37261.0,89103,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389103.0,10201.0,"Las Vegas, NV",,,NV_89103,Complete data,True,True,True
89104,89104,14840160.0,0.0,+36.1511882,-115.1093705,NV,Nevada,32,28587.0,NV_89104,zip code,2.0,37262.0,89104,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389104.0,10201.0,"Las Vegas, NV",,,NV_89104,Complete data,True,True,True
89106,89106,13135161.0,0.0,+36.1820658,-115.1624874,NV,Nevada,32,28714.0,NV_89106,zip code,2.0,37264.0,89106,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389106.0,10201.0,"Las Vegas, NV",,,NV_89106,Complete data,True,True,True
89107,89107,14583341.0,16683.0,+36.1712406,-115.2092880,NV,Nevada,32,28694.0,NV_89107,zip code,2.0,37265.0,89107,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389107.0,10201.0,"Las Vegas, NV",,,NV_89107,Complete data,True,True,True
89108,89108,23070330.0,0.0,+36.2050885,-115.2236830,NV,Nevada,32,28600.0,NV_89108,zip code,2.0,37266.0,89108,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389108.0,10201.0,"Las Vegas, NV",,,NV_89108,Complete data,True,True,True
89109,89109,10683404.0,0.0,+36.1316223,-115.1699320,NV,Nevada,32,28717.0,NV_89109,zip code,2.0,37267.0,89109,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389109.0,10201.0,"Las Vegas, NV",,,NV_89109,Complete data,True,True,True
89110,89110,24761503.0,0.0,+36.1736534,-115.0554795,NV,Nevada,32,28673.0,NV_89110,zip code,2.0,37268.0,89110,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389110.0,10201.0,"Las Vegas, NV",,,NV_89110,Complete data,True,True,True
89113,89113,27897724.0,0.0,+36.0602038,-115.2623254,NV,Nevada,32,28698.0,NV_89113,zip code,2.0,37271.0,89113,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389113.0,10201.0,"Las Vegas, NV",,,NV_89113,Complete data,True,True,True
89115,89115,64485806.0,0.0,+36.2537023,-115.0429358,NV,Nevada,32,28723.0,NV_89115,zip code,2.0,37273.0,89115,Nevada,NV,"Las Vegas, NV",29820.0,32003.0,"Clark County, NV",1865.0,county,"LAS VEGAS, NV",LAS VEGAS,3200389115.0,10201.0,"Las Vegas, NV",,,NV_89115,Complete data,True,True,True
